fecha,Municipio,dia_semana,indicador_movilidad,Casos Covid,indicador_recarga,Clase_socioe
20200308,Cadereyta Jiménez,DOMINGO,0.9593282536,0,0.902559522,Media
20200309,Cadereyta Jiménez,LUNES,0.9233643034,0,0.879059502,Media
20200310,Cadereyta Jiménez,MARTES,0.9509232383,0,0.930957564,Media
20200311,Cadereyta Jiménez,MIERCOLES,0.9531095755,0,0.846586389,Media
20200312,Cadereyta Jiménez,JUEVES,0.9475920332,0,0.854086389,Media
20200313,Cadereyta Jiménez,VIERNES,0.9691126198,0,0.992686003,Media
20200314,Cadereyta Jiménez,SABADO,0.9516329761,0,0.944265606,Media
20200315,Cadereyta Jiménez,DOMINGO,0.9442929589,0,1.000809445,Media
20200316,Cadereyta Jiménez,LUNES,0.8363143565,0,0.859060403,Media
20200317,Cadereyta Jiménez,MARTES,0.9233602459,0,1.210889838,Media
20200318,Cadereyta Jiménez,MIERCOLES,0.9052319842,0,0.976492855,Media
20200319,Cadereyta Jiménez,JUEVES,0.909157887,0,0.904529654,Media
20200320,Cadereyta Jiménez,VIERNES,0.8701670759,0,0.834942107,Media
20200321,Cadereyta Jiménez,SABADO,0.8407138456,0,0.933493236,Media
20200322,Cadereyta Jiménez,DOMINGO,0.8245202722,0,0.862366372,Media
20200323,Cadereyta Jiménez,LUNES,0.851331388,0,0.85617765,Media
20200324,Cadereyta Jiménez,MARTES,0.8816498768,0,0.924507512,Media
20200325,Cadereyta Jiménez,MIERCOLES,0.8683366239,2,0.861946951,Media
20200326,Cadereyta Jiménez,JUEVES,0.86016356,0,0.8144216,Media
20200327,Cadereyta Jiménez,VIERNES,0.8848524243,0,0.79532271,Media
20200328,Cadereyta Jiménez,SABADO,0.8881988328,0,0.915988134,Media
20200329,Cadereyta Jiménez,DOMINGO,0.8410845799,0,0.88514249,Media
20200330,Cadereyta Jiménez,LUNES,0.8573137827,1,0.859060403,Media
20200331,Cadereyta Jiménez,MARTES,0.8550625656,0,0.920207477,Media
20200401,Cadereyta Jiménez,MIERCOLES,0.9421273445,0,1.112543544,Media
20200402,Cadereyta Jiménez,JUEVES,0.914683563,0,1.014038964,Media
20200403,Cadereyta Jiménez,VIERNES,0.9089267659,0,0.927387367,Media
20200404,Cadereyta Jiménez,SABADO,0.9248093955,0,0.865492647,Media
20200405,Cadereyta Jiménez,DOMINGO,0.9276012334,0,0.931141318,Media
20200406,Cadereyta Jiménez,LUNES,0.884906052,0,0.779244178,Media
20200407,Cadereyta Jiménez,MARTES,0.8782349928,0,0.879787148,Media
20200408,Cadereyta Jiménez,MIERCOLES,0.875,0,0.880379625,Media
20200409,Cadereyta Jiménez,JUEVES,0.8482526585,0,0.73552316,Media
20200410,Cadereyta Jiménez,VIERNES,0.8094997352,2,0.616301731,Media
20200411,Cadereyta Jiménez,SABADO,0.8231939393,0,0.732857834,Media
20200412,Cadereyta Jiménez,DOMINGO,0.9426365281,0,0.767242582,Media
20200413,Cadereyta Jiménez,LUNES,0.865005433,0,0.800684654,Media
20200414,Cadereyta Jiménez,MARTES,0.8189623631,0,0.843236851,Media
20200415,Cadereyta Jiménez,MIERCOLES,0.8427936821,0,0.901445539,Media
20200416,Cadereyta Jiménez,JUEVES,0.8162037378,0,0.843739053,Media
20200417,Cadereyta Jiménez,VIERNES,0.8348981655,0,0.654820589,Media
20200418,Cadereyta Jiménez,SABADO,0.9013689692,0,0.842264723,Media
20200419,Cadereyta Jiménez,DOMINGO,0.8781631457,0,0.721243755,Media
20200420,Cadereyta Jiménez,LUNES,0.8535290024,0,0.879960362,Media
20200421,Cadereyta Jiménez,MARTES,0.8745761885,0,0.767126233,Media
20200422,Cadereyta Jiménez,MIERCOLES,0.8308242843,0,0.68859204,Media
20200423,Cadereyta Jiménez,JUEVES,0.8776001375,0,0.651451052,Media
20200424,Cadereyta Jiménez,VIERNES,0.8568058164,0,0.821368795,Media
20200425,Cadereyta Jiménez,SABADO,0.8390222684,0,0.707273454,Media
20200426,Cadereyta Jiménez,DOMINGO,0.8069366224,0,0.732855109,Media
20200427,Cadereyta Jiménez,LUNES,0.8180009035,0,0.757443358,Media
20200428,Cadereyta Jiménez,MARTES,0.8117667146,0,0.787336397,Media
20200429,Cadereyta Jiménez,MIERCOLES,0.8216929911,1,0.85558329,Media
20200430,Cadereyta Jiménez,JUEVES,0.8559886048,0,0.964457977,Media
20200501,Cadereyta Jiménez,VIERNES,0.8587317637,1,0.784317322,Media
20200502,Cadereyta Jiménez,SABADO,0.883849063,0,0.860611416,Media
20200503,Cadereyta Jiménez,DOMINGO,0.8895033256,0,1.019566249,Media
20200504,Cadereyta Jiménez,LUNES,0.9304455053,2,0.90158101,Media
20200505,Cadereyta Jiménez,MARTES,0.8994560578,1,0.764116208,Media
20200506,Cadereyta Jiménez,MIERCOLES,0.8889437315,0,0.931288916,Media
20200507,Cadereyta Jiménez,JUEVES,0.8692502272,0,0.771738838,Media
20200508,Cadereyta Jiménez,VIERNES,1.041215273,0,0.801559097,Media
20200509,Cadereyta Jiménez,SABADO,0.9702403248,1,0.975909445,Media
20200510,Cadereyta Jiménez,DOMINGO,0.9157513825,1,1.099505959,Media
20200511,Cadereyta Jiménez,LUNES,0.8808770923,0,0.765010585,Media
20200512,Cadereyta Jiménez,MARTES,0.8534770837,0,0.874627106,Media
20200513,Cadereyta Jiménez,MIERCOLES,0.8801826259,2,0.8562416,Media
20200514,Cadereyta Jiménez,JUEVES,0.8708465336,1,0.87564334,Media
20200515,Cadereyta Jiménez,VIERNES,0.8824449901,2,0.849982804,Media
20200516,Cadereyta Jiménez,SABADO,1.005400964,0,0.818363525,Media
20200517,Cadereyta Jiménez,DOMINGO,0.9634056217,0,1.035643509,Media
20200518,Cadereyta Jiménez,LUNES,0.8894233704,1,0.867348318,Media
20200519,Cadereyta Jiménez,MARTES,0.9023831012,1,0.795506463,Media
20200520,Cadereyta Jiménez,MIERCOLES,0.9101678184,0,0.931288916,Media
20200521,Cadereyta Jiménez,JUEVES,0.8919668951,0,0.90625421,Media
20200522,Cadereyta Jiménez,VIERNES,0.8891858058,0,0.7865184,Media
20200523,Cadereyta Jiménez,SABADO,0.9113976052,0,0.744640114,Media
20200524,Cadereyta Jiménez,DOMINGO,0.8852985398,0,0.910151562,Media
20200525,Cadereyta Jiménez,LUNES,0.8830747067,0,0.814377731,Media
20200526,Cadereyta Jiménez,MARTES,0.865673098,1,0.809266575,Media
20200527,Cadereyta Jiménez,MIERCOLES,0.8777147088,0,0.996681021,Media
20200528,Cadereyta Jiménez,JUEVES,0.8730568039,0,0.864433726,Media
20200529,Cadereyta Jiménez,VIERNES,0.9331214791,0,0.836409492,Media
20200530,Cadereyta Jiménez,SABADO,0.8991940843,0,0.862799554,Media
20200531,Cadereyta Jiménez,DOMINGO,0.9132030274,0,0.938733358,Media
20200601,Cadereyta Jiménez,LUNES,0.9695142051,2,0.998873925,Media
20200602,Cadereyta Jiménez,MARTES,0.9483620753,0,0.977397941,Media
20200603,Cadereyta Jiménez,MIERCOLES,0.9422507404,0,0.858874839,Media
20200604,Cadereyta Jiménez,JUEVES,0.9294186989,1,0.825200075,Media
20200605,Cadereyta Jiménez,VIERNES,0.9422697289,0,0.762306546,Media
20200606,Cadereyta Jiménez,SABADO,0.9626282276,0,0.827116077,Media
20200607,Cadereyta Jiménez,DOMINGO,0.952447695,1,0.857453876,Media
20200608,Cadereyta Jiménez,LUNES,1.017495452,1,0.899779289,Media
20200609,Cadereyta Jiménez,MARTES,1.027270288,4,0.896557285,Media
20200610,Cadereyta Jiménez,MIERCOLES,0.9911154985,1,1.027841018,Media
20200611,Cadereyta Jiménez,JUEVES,0.9448905916,0,0.828649188,Media
20200612,Cadereyta Jiménez,VIERNES,0.934806683,4,0.843746418,Media
20200613,Cadereyta Jiménez,SABADO,0.9500622259,3,0.821729891,Media
20200614,Cadereyta Jiménez,DOMINGO,0.9486251625,1,0.82887208,Media
20200615,Cadereyta Jiménez,LUNES,0.9814789945,15,0.983018783,Media
20200616,Cadereyta Jiménez,MARTES,0.9178720394,1,0.87505711,Media
20200617,Cadereyta Jiménez,MIERCOLES,0.9708785785,0,0.895740187,Media
20200618,Cadereyta Jiménez,JUEVES,0.9694491515,1,0.85365525,Media
20200619,Cadereyta Jiménez,VIERNES,0.9202417064,3,0.772211395,Media
20200620,Cadereyta Jiménez,SABADO,0.9542911688,3,0.826442803,Media
20200621,Cadereyta Jiménez,DOMINGO,0.9809892714,1,0.896307254,Media
20200622,Cadereyta Jiménez,LUNES,0.9355732721,2,0.805369128,Media
20200623,Cadereyta Jiménez,MARTES,0.90982267,0,0.843666855,Media
20200624,Cadereyta Jiménez,MIERCOLES,0.9258390918,0,0.935677648,Media
20200625,Cadereyta Jiménez,JUEVES,0.940347258,4,0.849774999,Media
20200626,Cadereyta Jiménez,VIERNES,0.902667437,2,0.580350797,Media
20200627,Cadereyta Jiménez,SABADO,0.9065645276,1,0.717709188,Media
20200628,Cadereyta Jiménez,DOMINGO,0.8948548712,6,0.671225612,Media
20200629,Cadereyta Jiménez,LUNES,0.8914988951,2,0.858339714,Media
20200630,Cadereyta Jiménez,MARTES,0.9105544308,6,0.921927491,Media
20200701,Cadereyta Jiménez,MIERCOLES,0.9782823297,6,1.03222975,Media
20200702,Cadereyta Jiménez,JUEVES,0.9645374395,3,0.855379807,Media
20200703,Cadereyta Jiménez,VIERNES,0.9585199095,14,0.832741029,Media
20200704,Cadereyta Jiménez,SABADO,0.9611783043,1,0.842601359,Media
20200705,Cadereyta Jiménez,DOMINGO,1.060880202,3,0.783766433,Media
20200706,Cadereyta Jiménez,LUNES,1.066331327,4,1.069861718,Media
20200707,Cadereyta Jiménez,MARTES,1.019830719,6,0.890967239,Media
20200708,Cadereyta Jiménez,MIERCOLES,0.8986920039,4,1.0445182,Media
20200709,Cadereyta Jiménez,JUEVES,0.9367862669,22,0.866589421,Media
20200710,Cadereyta Jiménez,VIERNES,0.9156675815,0,0.805227559,Media
20200711,Cadereyta Jiménez,SABADO,0.9326631466,8,0.757095668,Media
20200712,Cadereyta Jiménez,DOMINGO,0.9086159884,4,0.93248109,Media
20200713,Cadereyta Jiménez,LUNES,0.9345965546,5,0.815458763,Media
20200714,Cadereyta Jiménez,MARTES,0.924335927,6,0.880647155,Media
20200715,Cadereyta Jiménez,MIERCOLES,0.9511352419,3,0.930411169,Media
20200716,Cadereyta Jiménez,JUEVES,0.9130872566,4,0.792002371,Media
20200717,Cadereyta Jiménez,VIERNES,0.919158361,1,0.790553709,Media
20200718,Cadereyta Jiménez,SABADO,0.9509080145,0,0.803719834,Media
20200719,Cadereyta Jiménez,DOMINGO,0.8942177824,1,0.978033327,Media
20200720,Cadereyta Jiménez,LUNES,0.9199457922,6,0.815819107,Media
20200721,Cadereyta Jiménez,MARTES,0.9255555285,6,0.89354726,Media
20200722,Cadereyta Jiménez,MIERCOLES,0.9206564659,8,0.923828071,Media
20200723,Cadereyta Jiménez,JUEVES,0.915911491,4,0.75319986,Media
20200724,Cadereyta Jiménez,VIERNES,0.9260195484,3,0.84741488,Media
20200725,Cadereyta Jiménez,SABADO,0.9252927033,1,0.877274927,Media
20200726,Cadereyta Jiménez,DOMINGO,0.8756147907,2,0.590392721,Media
20200727,Cadereyta Jiménez,LUNES,0.8121405985,3,0.904463763,Media
20200728,Cadereyta Jiménez,MARTES,0.8994560578,6,0.861296998,Media
20200729,Cadereyta Jiménez,MIERCOLES,0.9067127345,6,0.93743314,Media
20200730,Cadereyta Jiménez,JUEVES,0.902404283,3,0.900864973,Media
20200731,Cadereyta Jiménez,VIERNES,0.9106119698,1,0.888134816,Media
20200801,Cadereyta Jiménez,SABADO,0.9825646726,2,0.899829578,Media
20200802,Cadereyta Jiménez,DOMINGO,0.9655717235,1,0.865939096,Media
20200803,Cadereyta Jiménez,LUNES,0.9722001783,1,0.848250079,Media
20200804,Cadereyta Jiménez,MARTES,0.9828767959,9,0.853556935,Media
20200805,Cadereyta Jiménez,MIERCOLES,0.9880306022,0,0.878624133,Media
20200806,Cadereyta Jiménez,JUEVES,0.94525897,4,0.921775215,Media
20200807,Cadereyta Jiménez,VIERNES,0.9534642978,6,0.81696664,Media
20200808,Cadereyta Jiménez,SABADO,0.9533245532,2,0.838225084,Media
20200809,Cadereyta Jiménez,DOMINGO,0.950918682,1,0.882016356,Media
20200810,Cadereyta Jiménez,LUNES,0.9636539002,1,0.75672267,Media
20200811,Cadereyta Jiménez,MARTES,0.9409225065,3,0.787766401,Media
20200812,Cadereyta Jiménez,MIERCOLES,0.9506416584,3,0.805332309,Media
20200813,Cadereyta Jiménez,JUEVES,0.9506618532,2,0.801918569,Media
20200814,Cadereyta Jiménez,VIERNES,0.9870480042,2,0.83861057,Media
20200815,Cadereyta Jiménez,SABADO,0.9834104612,0,0.912621768,Media
20200816,Cadereyta Jiménez,DOMINGO,0.9700313448,2,0.907025428,Media
20200817,Cadereyta Jiménez,LUNES,0.9820894429,3,0.881401739,Media
20200818,Cadereyta Jiménez,MARTES,0.981291314,5,0.825176705,Media
20200819,Cadereyta Jiménez,MIERCOLES,1.011969398,2,0.953232575,Media
20200820,Cadereyta Jiménez,JUEVES,0.9849210442,4,0.834685134,Media
20200821,Cadereyta Jiménez,VIERNES,0.9828349945,3,0.836042646,Media
20200822,Cadereyta Jiménez,SABADO,0.9899351159,3,0.819710072,Media
20200823,Cadereyta Jiménez,DOMINGO,0.984811804,2,0.910151562,Media
20200824,Cadereyta Jiménez,LUNES,0.9646306177,6,0.879239674,Media
20200825,Cadereyta Jiménez,MARTES,0.9497036369,8,0.854846946,Media
20200826,Cadereyta Jiménez,MIERCOLES,0.9818608095,10,0.86721343,Media
20200827,Cadereyta Jiménez,JUEVES,0.9560647364,4,0.75319986,Media
20200828,Cadereyta Jiménez,VIERNES,0.9623718041,9,0.839344262,Media
20200829,Cadereyta Jiménez,SABADO,0.9565868806,0,0.836205264,Media
20200830,Cadereyta Jiménez,DOMINGO,0.9496445045,2,0.958829933,Media
20200831,Cadereyta Jiménez,LUNES,0.9499798552,7,0.922120625,Media
20200901,Cadereyta Jiménez,MARTES,0.9958045711,5,0.904727351,Media
20200902,Cadereyta Jiménez,MIERCOLES,1.011969398,9,0.889157089,Media
20200903,Cadereyta Jiménez,JUEVES,1.002357622,6,0.825631214,Media
20200904,Cadereyta Jiménez,VIERNES,1.021715056,6,0.856219191,Media
20200905,Cadereyta Jiménez,SABADO,1.010475696,1,0.871552105,Media
20200906,Cadereyta Jiménez,DOMINGO,0.9705410158,1,0.906578837,Media
20200907,Cadereyta Jiménez,LUNES,1.005286483,3,0.832755281,Media
20200908,Cadereyta Jiménez,MARTES,0.9828767959,7,0.822596684,Media
20200909,Cadereyta Jiménez,MIERCOLES,0.9959279368,6,0.717118797,Media
20200910,Cadereyta Jiménez,JUEVES,0.953240502,8,0.785966425,Media
20200911,Cadereyta Jiménez,VIERNES,0.9508161202,2,0.720119225,Media
20200912,Cadereyta Jiménez,SABADO,0.9681862668,0,0.904205853,Media
20200913,Cadereyta Jiménez,DOMINGO,0.9616217731,0,0.910374857,Media
20200914,Cadereyta Jiménez,LUNES,0.9490031377,7,0.86752849,Media
20200915,Cadereyta Jiménez,MARTES,0.9610459302,9,1.000188127,Media
20200916,Cadereyta Jiménez,MIERCOLES,0.9178183613,0,0.787338508,Media
20200917,Cadereyta Jiménez,JUEVES,0.9683440163,8,0.852361833,Media
20200918,Cadereyta Jiménez,VIERNES,0.9468438538,5,0.825037258,Media
20200919,Cadereyta Jiménez,SABADO,0.9773691142,1,0.854551958,Media
20200920,Cadereyta Jiménez,DOMINGO,0.9735990418,1,0.875317498,Media
20200921,Cadereyta Jiménez,LUNES,0.9692700258,8,0.882482771,Media
20200922,Cadereyta Jiménez,MARTES,0.9373856624,7,0.839796823,Media
20200923,Cadereyta Jiménez,MIERCOLES,0.9598963475,7,0.946210604,Media
20200924,Cadereyta Jiménez,JUEVES,0.9370318525,5,0.750613026,Media
20200925,Cadereyta Jiménez,VIERNES,0.9354085416,5,0.772211395,Media
20200926,Cadereyta Jiménez,SABADO,0.9592450733,4,0.817016979,Media
20200927,Cadereyta Jiménez,DOMINGO,0.9479880737,1,0.943645854,Media
20200928,Cadereyta Jiménez,LUNES,0.9460729852,12,0.889689654,Media
20200929,Cadereyta Jiménez,MARTES,0.9318974559,6,0.871617082,Media
20200930,Cadereyta Jiménez,MIERCOLES,0.9558242843,5,1.102888334,Media
20201001,Cadereyta Jiménez,JUEVES,1.011444289,5,0.928673439,Media
20201002,Cadereyta Jiménez,VIERNES,1.008474168,4,0.737361,Media
20201003,Cadereyta Jiménez,SABADO,1.01663787,2,0.847987544,Media
20201004,Cadereyta Jiménez,DOMINGO,1.013608216,1,0.930694727,Media
20201005,Cadereyta Jiménez,LUNES,1.002966779,10,0.888248277,Media
20201006,Cadereyta Jiménez,MARTES,1.002390419,6,0.835926792,Media
20201007,Cadereyta Jiménez,MIERCOLES,1.012833169,5,0.700441616,Media
20201008,Cadereyta Jiménez,JUEVES,1.008497262,2,0.82778691,Media
20201009,Cadereyta Jiménez,VIERNES,0.9899369252,10,0.79825748,Media
20201010,Cadereyta Jiménez,SABADO,1.007455022,2,0.873571925,Media
20201011,Cadereyta Jiménez,DOMINGO,0.9989551744,1,0.889161805,Media
20201012,Cadereyta Jiménez,LUNES,0.9855079541,13,0.784469168,Media
20201013,Cadereyta Jiménez,MARTES,0.9777544698,8,0.925367519,Media
20201014,Cadereyta Jiménez,MIERCOLES,1.002221125,6,0.89552075,Media
20201015,Cadereyta Jiménez,JUEVES,1.029003659,4,0.967044812,Media
20201016,Cadereyta Jiménez,VIERNES,1.016057586,8,0.800458558,Media
20201017,Cadereyta Jiménez,SABADO,0.9881227118,2,0.796145511,Media
20201018,Cadereyta Jiménez,DOMINGO,0.9797150939,2,0.959723114,Media
20201019,Cadereyta Jiménez,LUNES,0.9780604832,9,0.774379532,Media
20201020,Cadereyta Jiménez,MARTES,0.9625094519,2,0.826036712,Media
20201021,Cadereyta Jiménez,MIERCOLES,0.9979022705,7,0.770661327,Media
20201022,Cadereyta Jiménez,JUEVES,0.9719050075,5,0.691115842,Media
20201023,Cadereyta Jiménez,VIERNES,0.9582791661,5,0.786885246,Media
20201024,Cadereyta Jiménez,SABADO,0.9656489011,4,0.741610385,Media
20201025,Cadereyta Jiménez,DOMINGO,0.9662088122,3,0.852094789,Media
20201026,Cadereyta Jiménez,LUNES,0.9455846265,3,0.742308905,Media
20201027,Cadereyta Jiménez,MARTES,0.9297021733,0,0.694455642,Media
20201028,Cadereyta Jiménez,MIERCOLES,0.9439782823,4,0.924266945,Media
20201029,Cadereyta Jiménez,JUEVES,0.939733294,5,0.856673224,Media
20201030,Cadereyta Jiménez,VIERNES,0.9493716597,2,0.865023501,Media
20201031,Cadereyta Jiménez,SABADO,0.9743484407,1,0.858086642,Media
20201101,Cadereyta Jiménez,DOMINGO,1.006090569,1,0.961062886,Media
20201102,Cadereyta Jiménez,LUNES,0.986728851,9,0.817260484,Media
20201103,Cadereyta Jiménez,MARTES,0.9817791546,7,1.094358892,Media
20201104,Cadereyta Jiménez,MIERCOLES,0.98482231,4,0.833420194,Media
20201105,Cadereyta Jiménez,JUEVES,0.9777990619,6,0.798038317,Media
20201106,Cadereyta Jiménez,VIERNES,0.9886128364,3,0.690404677,Media
20201107,Cadereyta Jiménez,SABADO,0.9916266931,0,0.842937996,Media
20201108,Cadereyta Jiménez,DOMINGO,0.9730893708,1,0.874424317,Media
20201109,Cadereyta Jiménez,LUNES,0.9818452635,8,0.814017387,Media
20201110,Cadereyta Jiménez,MARTES,0.9921457668,5,0.831196753,Media
20201111,Cadereyta Jiménez,MIERCOLES,1.04405232,3,0.86721343,Media
20201112,Cadereyta Jiménez,JUEVES,0.9919202338,4,0.82304438,Media
20201113,Cadereyta Jiménez,VIERNES,0.9977610862,5,0.768176086,Media
20201114,Cadereyta Jiménez,SABADO,1.013738023,1,0.893433483,Media
20201115,Cadereyta Jiménez,DOMINGO,1.006345404,7,0.872191364,Media
20201116,Cadereyta Jiménez,LUNES,0.9548634427,1,0.794919148,Media
20201117,Cadereyta Jiménez,MARTES,0.9933653682,8,0.896127281,Media
20201118,Cadereyta Jiménez,MIERCOLES,1.00209773,4,1.017966371,Media
20201119,Cadereyta Jiménez,JUEVES,0.991797441,6,0.797176039,Media
20201120,Cadereyta Jiménez,VIERNES,0.9889739516,4,0.680683251,Media
20201121,Cadereyta Jiménez,SABADO,0.9859478269,0,0.809947611,Media
20201122,Cadereyta Jiménez,DOMINGO,1.006217986,1,1.000809445,Media
20201123,Cadereyta Jiménez,LUNES,0.9927112457,1,0.732219269,Media
20201124,Cadereyta Jiménez,MARTES,0.9656804156,2,0.829046736,Media
20201125,Cadereyta Jiménez,MIERCOLES,0.9785291214,0,0.923828071,Media
20201126,Cadereyta Jiménez,JUEVES,0.9646602323,2,0.887284094,Media
20201127,Cadereyta Jiménez,VIERNES,0.9600847417,2,0.810363407,Media
20201128,Cadereyta Jiménez,SABADO,0.9567077076,2,0.915651497,Media
20201129,Cadereyta Jiménez,DOMINGO,0.936520476,0,0.827978899,Media
20201130,Cadereyta Jiménez,LUNES,0.9472938821,8,0.869870727,Media
20201201,Cadereyta Jiménez,MARTES,1.013854672,1,0.925797522,Media
20201202,Cadereyta Jiménez,MIERCOLES,1.026036525,11,0.779877664,Media
20201203,Cadereyta Jiménez,JUEVES,1.011198703,7,0.916170408,Media
20201204,Cadereyta Jiménez,VIERNES,1.013168665,7,0.830906798,Media
20201205,Cadereyta Jiménez,SABADO,0.9806314416,1,0.698520903,Media
20201206,Cadereyta Jiménez,DOMINGO,0.9521928595,0,0.750272141,Media
20201207,Cadereyta Jiménez,LUNES,1.056319973,11,0.842484573,Media
20201208,Cadereyta Jiménez,MARTES,1.015074274,11,0.90343734,Media
20201209,Cadereyta Jiménez,MIERCOLES,1.038005923,9,0.903201031,Media
20201210,Cadereyta Jiménez,JUEVES,1.030845551,5,0.839858802,Media
20201211,Cadereyta Jiménez,VIERNES,1.103327074,8,0.888685085,Media
20201212,Cadereyta Jiménez,SABADO,1.00080954,10,0.789076143,Media
20201213,Cadereyta Jiménez,DOMINGO,0.9772941566,0,0.8373573,Media
20201214,Cadereyta Jiménez,LUNES,1.023355757,8,1.044997973,Media
